feature,importance_rf,importance_et,importance_avg
grid_load,0.5159521053269619,0.42794241752717865,0.4719472614270703
consumption_residential,0.17765437307671988,0.27780821363818936,0.22773129335745462
consumption_industrial,0.10873985461475778,0.08562794828873976,0.09718390145174877
consumption_commercial,0.07228065163833991,0.10973974820354192,0.09101019992094092
frequency,0.03918957193438108,0.025052769280437853,0.03212117060740947
voltage,0.029072662561821803,0.02765438016566997,0.028363521363745887
generation_solar,0.014357883539376616,0.020240869175561543,0.01729937635746908
reactive_power,0.01776587788296514,0.009624619326791404,0.013695248604878273
temperature,0.008602458987785123,0.009584057105948203,0.009093258046866663
humidity,0.0041655267884100336,0.003060130825047689,0.003612828806728861
wind_speed,0.0006776819805081194,0.00022550909626702792,0.0004515955383875737
feature_13,0.0006601562991649626,0.0002108711709119197,0.00043551373503844114
cloud_cover,0.0006515027214204683,0.0001989101690044148,0.00042520644521244153
feature_8,0.0006733354432446305,0.00017610749635411292,0.0004247214697993717
generation_nuclear,0.0006410183015524331,0.0001855204158835008,0.00041326935871796697
feature_7,0.0006565897525293892,0.0001536544138911511,0.00040512208321027016
feature_9,0.0006097661840359433,0.00018215094216853238,0.0003959585631022378
feature_0,0.0006258949077509765,0.00015066023267993104,0.00038827757021545376
feature_11,0.0005815705212639396,0.0001722832845384844,0.000376926902901212
generation_thermal,0.0005753214503779775,0.0001784924580521749,0.0003769069542150762
feature_10,0.0005647722058646226,0.00018554210823715808,0.00037515715705089035
feature_2,0.0005375444985999912,0.00020391183748578627,0.0003707281680428887
feature_6,0.0005523950365080229,0.0001612270161973084,0.0003568110263526656
feature_4,0.0005216983046953385,0.0001888064005092267,0.0003552523526022826
feature_1,0.0005539614840738399,0.00015501527865082425,0.00035448838136233204
feature_5,0.0005382467528359643,0.0001697964905085254,0.00035402162167224487
feature_12,0.0005525583079198583,0.00014500861569631765,0.000348783461808088
feature_3,0.000502636039016863,0.00018260410974396175,0.0003426200743804124
feature_14,0.00053511208668198,0.0001363886294887235,0.00033575035808535174
generation_wind,0.0005141405114535879,0.0001459358763338218,0.00033003819389370486
generation_hydro,0.0004931308589818665,0.00015645042029071123,0.00032479063963628885
